Name,Full Name,Owner,License,Description,Language,Stars,Forks,Open Issues,Created At,Updated At,GitHub URL
machine-learning-yearning-cn,deeplearning-ai/machine-learning-yearning-cn,deeplearning-ai,NOASSERTION,Machine Learning Yearning 中文版 - 《机器学习训练秘籍》 - Andrew Ng 著,CSS,7844,1501,4,2018-06-19 19:26:39+00:00,2026-08-18 08:45:23+00:00,https://github.com/deeplearning-ai/machine-learning-yearning-cn
machine-learning-mindmap,dformoso/machine-learning-mindmap,dformoso,Apache-2.0,"A mindmap summarising Machine Learning concepts, from Data Analysis to Deep Learning.",Unknown,6261,1008,5,2017-08-10 04:29:24+00:00,2026-08-17 16:20:32+00:00,https://github.com/dformoso/machine-learning-mindmap
Machine-Learning-Session,shuhuai007/Machine-Learning-Session,shuhuai007,Unknown,No description,Unknown,5253,1079,20,2018-11-01 15:18:42+00:00,2026-08-15 08:05:11+00:00,https://github.com/shuhuai007/Machine-Learning-Session
Machine-Learning,JustFollowUs/Machine-Learning,JustFollowUs,Unknown,No description,Unknown,3163,848,3,2016-12-16 06:32:18+00:00,2026-08-17 12:02:56+00:00,https://github.com/JustFollowUs/Machine-Learning
mlcourse.ai,Yorko/mlcourse.ai,Yorko,NOASSERTION,Open Machine Learning Course,Python,10688,5701,4,2017-02-27 08:32:20+00:00,2026-08-18 05:11:40+00:00,https://github.com/Yorko/mlcourse.ai
Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,TarrySingh,NOASSERTION,"A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Learning / Machine Vision / NLP and industry specific areas such as Climate / Energy, Automotives, Retail, Pharma, Medicine, Healthcare, Policy, Ethics and more.",Python,4000,1627,158,2017-07-13 19:46:01+00:00,2026-08-14 20:33:27+00:00,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
MachineLearningStocks,robertmartin8/MachineLearningStocks,robertmartin8,MIT,Using python and scikit-learn to make stock predictions,Python,1959,539,21,2017-02-12 04:50:44+00:00,2026-08-17 22:05:14+00:00,https://github.com/robertmartin8/MachineLearningStocks
machine-learning-cheat-sheet,soulmachine/machine-learning-cheat-sheet,soulmachine,Unknown,Classical equations and diagrams in machine learning,TeX,8043,1332,11,2013-05-09 07:43:59+00:00,2026-08-17 01:43:29+00:00,https://github.com/soulmachine/machine-learning-cheat-sheet
HsuanTienLin_MachineLearning,RedstoneWill/HsuanTienLin_MachineLearning,RedstoneWill,Unknown,No description,Unknown,2774,840,4,2018-05-05 05:42:53+00:00,2026-08-03 04:30:51+00:00,https://github.com/RedstoneWill/HsuanTienLin_MachineLearning
2022-Machine-Learning-Specialization,kaieye/2022-Machine-Learning-Specialization,kaieye,Unknown,No description,Jupyter Notebook,4609,1624,26,2022-06-17 01:45:27+00:00,2026-08-18 04:44:55+00:00,https://github.com/kaieye/2022-Machine-Learning-Specialization
Machine-Learning-with-Python,tirthajyoti/Machine-Learning-with-Python,tirthajyoti,BSD-2-Clause,Practice and tutorial-style notebooks  covering wide variety of machine learning techniques,Jupyter Notebook,3324,1832,9,2017-07-17 03:06:13+00:00,2026-08-16 19:26:29+00:00,https://github.com/tirthajyoti/Machine-Learning-with-Python
100-days-of-machine-learning,campusx-official/100-days-of-machine-learning,campusx-official,Unknown,No description,Jupyter Notebook,3034,2656,81,2021-03-30 14:22:03+00:00,2026-08-18 07:03:29+00:00,https://github.com/campusx-official/100-days-of-machine-learning
machinelearning,ljpzzz/machinelearning,ljpzzz,MIT,My blogs and code for machine learning. http://cnblogs.com/pinard,Jupyter Notebook,8706,3687,17,2016-05-12 07:06:34+00:00,2026-08-17 09:47:16+00:00,https://github.com/ljpzzz/machinelearning
numpy-ml,ddbourgin/numpy-ml,ddbourgin,GPL-3.0,"Machine learning, in numpy",Python,16335,3745,48,2019-04-06 22:29:49+00:00,2026-08-18 06:13:56+00:00,https://github.com/ddbourgin/numpy-ml
